white_rank,white_username,white_elo,result,black_rank,black_username,black_elo,filename,date,day,month,year,white_result,black_result,type
GM,Hasangatin_Ramil,2704,1 - 0,GM,abhidabhi,2906,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,starworld123,2910,1 - 0,IM,AlmasRakhmatullaev,2882,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,jcibarra,2970,0 - 1,FM,Evan_Attaker,2697,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,wonderfultime,3083,1 - 0,CM,ansko1999,2659,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,Salem-AR,3104,1 - 0,GM,tetrix83,2561,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,Oleksandr_Bortnyk,3111,1 - 0,FM,Likvidator228,2583,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,LevonAronian,3039,½ - ½,GM,mishanick,3038,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
IM,Aradhya2000,2787,0 - 1,GM,Jakhongir-Vakhidov,3002,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,DenLaz,3104,1 - 0,IM,Rud_Makarian,3013,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
IM,Szparu,2863,0 - 1,GM,DanielNaroditsky,3049,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,sergoy,2956,½ - ½,GM,AnishOnYoutube,3095,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,viditchess,3013,0 - 1,GM,starworld123,2910,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Dedic8,2930,0 - 1,GM,BogdanDeac,3106,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
FM,ShiroglanTalibov,2863,0 - 1,GM,Jospem,3102,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Azerichess,3030,½ - ½,GM,ckgchess,2909,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,Shield12,2952,0 - 1,FM,Evan_Attaker,2697,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Hasangatin_Ramil,2704,1 - 0,GM,Polish_fighter3000,3057,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,Vladimir_Zakhartsov,2908,0 - 1,GM,FairChess_on_YouTube,3064,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,RobertoJBM,2875,0 - 1,GM,wonderfultime,3083,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,Kirill_Klukin,2914,0 - 1,GM,Salem-AR,3104,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,Legendinunknown,2814,0 - 1,GM,Oleksandr_Bortnyk,3111,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
FM,RandomNoob04,2712,0 - 1,IM,KhBegmuratov,2965,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,alexrustemov,2899,1 - 0,GM,Sanan_Sjugirov,2931,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,KNVB,2814,0 - 1,GM,DominguezOnYoutube,2968,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
CM,djokovic74,2876,0 - 1,GM,dropstoneDP,3003,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,bancsoo,2843,1 - 0,GM,ChessQueen,2729,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,moro182,2901,0 - 1,FM,Timerkhanov,2587,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,lachesisQ,3164,1 - 0,GM,Grebnev_A,2742,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
FM,wqws,2876,1 - 0,GM,igorkovalenko,2961,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,vi_pranav,3103,1 - 0,IM,RichardLeyvaP,2657,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,abhidabhi,2906,1 - 0,FM,Makswolf200817,2760,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,mishanick,3038,1 - 0,GM,Jakhongir-Vakhidov,3002,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,LevonAronian,3039,0 - 1,GM,DenLaz,3104,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,starworld123,2910,0 - 1,GM,DanielNaroditsky,3049,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,BogdanDeac,3106,0 - 1,GM,Hasangatin_Ramil,2704,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
FM,Evan_Attaker,2697,0 - 1,GM,Jospem,3102,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,FairChess_on_YouTube,3064,1 - 0,IM,KhBegmuratov,2965,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,AnishOnYoutube,3095,1 - 0,GM,DominguezOnYoutube,2968,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,wonderfultime,3083,1 - 0,GM,dropstoneDP,3003,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,Salem-AR,3104,½ - ½,GM,bancsoo,2843,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
IM,Aradhya2000,2787,½ - ½,GM,Azerichess,3030,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,Oleksandr_Bortnyk,3111,1 - 0,GM,ckgchess,2909,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
FM,Timerkhanov,2587,0 - 1,GM,sergoy,2956,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,alexrustemov,2899,0 - 1,GM,viditchess,3013,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
FM,1800_strength,2860,0 - 1,GM,lachesisQ,3164,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,Kildepiotr,2735,0 - 1,GM,vi_pranav,3103,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,Rud_Makarian,3013,1 - 0,IM,SaraBlackPanther,2797,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
FM,wqws,2876,1 - 0,GM,Shield12,2952,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,Nikolakis2014,2755,1 - 0,GM,abhidabhi,2906,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
CM,Statham,2692,0 - 1,GM,Dedic8,2930,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Durarbayli,2925,1 - 0,FM,BardArtem,2826,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,Harry_Rakkel,2729,½ - ½,FM,ShiroglanTalibov,2863,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
IM,Meri-Arabidze,2686,0 - 1,GM,Zhigalko_Sergei,2912,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Illingworth,2905,1 - 0,GM,tetrix83,2561,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,FGHSMN,2857,1 - 0,IM,xasid81,2666,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,DenLaz,3104,0 - 1,GM,mishanick,3038,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,DanielNaroditsky,3049,1 - 0,GM,Hasangatin_Ramil,2704,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,Jospem,3102,½ - ½,GM,FairChess_on_YouTube,3064,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,Oleksandr_Bortnyk,3111,½ - ½,GM,AnishOnYoutube,3095,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,Jakhongir-Vakhidov,3002,1 - 0,GM,wonderfultime,3083,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,sergoy,2956,0 - 1,GM,viditchess,3013,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Zhigalko_Sergei,2912,1 - 0,GM,Salem-AR,3104,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,lachesisQ,3164,1 - 0,GM,bancsoo,2843,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,Illingworth,2905,½ - ½,GM,BogdanDeac,3106,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,Azerichess,3030,½ - ½,GM,FGHSMN,2857,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,vi_pranav,3103,1 - 0,IM,Aradhya2000,2787,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,Kiborg95,2839,0 - 1,IM,Rud_Makarian,3013,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,Szparu,2863,1 - 0,FM,wqws,2876,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,starworld123,2910,0 - 1,GM,Nikolakis2014,2755,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Dedic8,2930,0 - 1,FM,Evan_Attaker,2697,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
FM,LeRoidesChampions,2613,0 - 1,GM,Polish_fighter3000,3057,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,KhBegmuratov,2965,0 - 1,IM,Legendinunknown,2814,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,DominguezOnYoutube,2968,0 - 1,FM,RandomNoob04,2712,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Sanan_Sjugirov,2931,1 - 0,GM,KNVB,2814,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,dropstoneDP,3003,1 - 0,GM,grzechu96,2737,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,rasmussvane,2941,0 - 1,IM,Zurability,2706,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,AlexeiShirov,2822,½ - ½,IM,vasblesk,2805,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
FM,ShiroglanTalibov,2863,0 - 1,IM,dzhumagaliev,2780,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,ckgchess,2909,1 - 0,FM,Legit,2777,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,mishanick,3038,½ - ½,GM,DanielNaroditsky,3049,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,Jakhongir-Vakhidov,3002,1 - 0,GM,Jospem,3102,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
IM,Szparu,2863,1 - 0,GM,DenLaz,3104,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,FairChess_on_YouTube,3064,1 - 0,IM,Rud_Makarian,3013,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,AnishOnYoutube,3095,0 - 1,GM,Durarbayli,2925,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,viditchess,3013,½ - ½,GM,Zhigalko_Sergei,2912,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,Nikolakis2014,2755,0 - 1,GM,lachesisQ,3164,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Hasangatin_Ramil,2704,0 - 1,GM,Oleksandr_Bortnyk,3111,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
FM,Evan_Attaker,2697,0 - 1,GM,vi_pranav,3103,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
GM,Polish_fighter3000,3057,½ - ½,GM,Illingworth,2905,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
GM,wonderfultime,3083,1 - 0,GM,FGHSMN,2857,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,BogdanDeac,3106,1 - 0,GM,ckgchess,2909,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
IM,scarabee43,2909,1 - 0,GM,Azerichess,3030,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
IM,Legendinunknown,2814,1 - 0,GM,sergoy,2956,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
FM,RandomNoob04,2712,0 - 1,GM,Sanan_Sjugirov,2931,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,dzhumagaliev,2780,0 - 1,GM,dropstoneDP,3003,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,Zurability,2706,0 - 1,GM,Salem-AR,3104,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
FM,1800_strength,2860,0 - 1,GM,Volodar_Murzin,3017,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
IM,Yaacovn,2950,½ - ½,GM,starworld123,2910,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,½,½,early
FM,wqws,2876,0 - 1,GM,abhidabhi,2906,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
FM,KnightDuta,2704,1 - 0,IM,AlmasRakhmatullaev,2882,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,jcibarra,2970,1 - 0,IM,lamomiajunior,2772,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
FM,Makswolf200817,2760,1 - 0,GM,AlexeiShirov,2822,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,1,0,early
GM,bancsoo,2843,0 - 1,NM,traviscottofficial,2726,early-titled-tuesday-blitz-june-04-2024-4800123_pairings,june-04-2024,4,june,2024,0,1,early
FM,Schattman,2524,0 - 1,GM,Duhless,3105,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,mishanick,3038,1 - 0,FM,WindWhistler11,2528,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
FM,xakevicius91,2554,0 - 1,GM,DenLaz,3104,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,FairChess_on_YouTube,3064,1 - 0,FM,alreadybroken23,2761,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,maximnovik,2615,0 - 1,IM,MITerryble,3011,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,viditchess,3013,1 - 0,FM,Hananmo,2535,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
WGM,Sanyura,2607,0 - 1,GM,lachesisQ,3164,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Salem-AR,3104,1 - 0,FM,betta2004,2566,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,Javokhir_Sindarov05,3126,1 - 0,FM,Orest_Vovk,2521,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
FM,dennisodessa,2543,0 - 1,GM,frederiksvane,3060,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
FM,rezamahdavi2008,3006,1 - 0,FM,Pingah9,2530,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
IM,Triumphmate,2564,0 - 1,GM,sergoy,2956,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,vugarrasulov,2933,1 - 0,FM,colegiodemadrid,2532,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,Volodar_Murzin,3017,1 - 0,FM,Bilan_Danila,2605,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,HansOnTwitch,3128,1 - 0,FM,Partytime1126,2541,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
FM,only_strong_moves,2756,0 - 1,GM,Firouzja2003,3188,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Duhless,3105,1 - 0,CM,Keithonsky,2640,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
IM,karinachess1,2645,0 - 1,GM,mishanick,3038,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,DenLaz,3104,1 - 0,FM,juancruzarias,2715,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
CM,KogotBobra17,2837,0 - 1,GM,viditchess,3013,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,lachesisQ,3164,1 - 0,FM,Mackster23,2652,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
CM,SashaKuzhilniy,2621,0 - 1,GM,Salem-AR,3104,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Msb2,3112,1 - 0,IM,Boundless_Strike,2602,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
IM,JiaHaoxiang,2655,½ - ½,GM,vi_pranav,3103,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,½,½,early
FM,GP9isback23,2743,0 - 1,GM,Javokhir_Sindarov05,3126,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Ginger_GM,2660,0 - 1,FM,rezamahdavi2008,3006,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,FormerProdigy,2933,1 - 0,FM,Alphafischer2019,2830,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
IM,manitodeplomo,2625,0 - 1,GM,gurelediz,3053,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,rasmussvane,2941,1 - 0,FM,NovozhilovSemen,2602,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,Hikaru,3276,1 - 0,GM,sokidze,2917,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
FM,kids2010,2786,0 - 1,GM,HansOnTwitch,3128,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Firouzja2003,3188,1 - 0,GM,chessfatbear,2859,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,grzechu96,2737,1 - 0,GM,Duhless,3105,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,mishanick,3038,1 - 0,IM,PavelShkapenko,2778,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
FM,Alex_Sahakyan2006,2698,1 - 0,GM,DenLaz,3104,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,FairChess_on_YouTube,3064,1 - 0,NM,Abund,2734,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,DuleMudule,2786,0 - 1,IM,MITerryble,3011,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,viditchess,3013,1 - 0,IM,Athanasios2,2836,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
IM,DragonB70,2723,0 - 1,GM,lachesisQ,3164,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Salem-AR,3104,0 - 1,IM,jakopogi,2818,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
FM,KnightDuta,2704,0 - 1,GM,Msb2,3112,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,GM_dmitrij,3002,1 - 0,GM,GMG,2743,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
FM,Makswolf200817,2760,0 - 1,GM,BilodeauA,3003,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Matibar,2820,½ - ½,GM,AryanTari,2977,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,½,½,early
GM,Javokhir_Sindarov05,3126,1 - 0,FM,Legit,2777,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
CM,MrLion3000,2725,1 - 0,GM,frederiksvane,3060,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
FM,rezamahdavi2008,3006,0 - 1,FM,RuperezA,2728,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
IM,Sl4werThanYou,2730,0 - 1,GM,sergoy,2956,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,vugarrasulov,2933,0 - 1,IM,AradNazari,2821,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,gurelediz,3053,1 - 0,FM,Gunner214,2713,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
FM,SuperPower2011,2728,0 - 1,GM,rasmussvane,2941,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Volodar_Murzin,3017,1 - 0,IM,chegueps,2741,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
IM,Meri-Arabidze,2686,½ - ½,GM,Lestofante90,2948,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,½,½,early
IM,MatthewG-p4p,2948,0 - 1,GM,Hikaru,3276,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,HansOnTwitch,3128,1 - 0,IM,IlyaGrigorjev,2830,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,Firouzja2003,3188,0 - 1,IM,scarabee43,2909,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
IM,Kirill_Klukin,2914,0 - 1,GM,mishanick,3038,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
FM,PeshkaCh,2832,0 - 1,GM,FairChess_on_YouTube,3064,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,K_A_S_T_O_R,2838,0 - 1,IM,MITerryble,3011,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,KNVB,2814,1 - 0,GM,viditchess,3013,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,lachesisQ,3164,0 - 1,GM,ViIIagra,2943,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Msb2,3112,½ - ½,GM,kpio91,2844,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,½,½,early
FM,luckyswitchback,2750,½ - ½,GM,GM_dmitrij,3002,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,½,½,early
GM,BilodeauA,3003,0 - 1,CM,vovachesss,2810,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,0,1,early
GM,Javokhir_Sindarov05,3126,1 - 0,GM,platy3,3018,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
GM,sergoy,2956,1 - 0,NM,traviscottofficial,2726,early-titled-tuesday-blitz-june-11-2024-4814658_pairings,june-11-2024,11,june,2024,1,0,early
